pygame 2.6.1 (SDL 2.28.4, Python 3.12.13)
[Fantasma 3] mode=alpha_beta_manada mc=(3, 3) dir=1 depth=3 time_ms=0.243 nodes=10 cache_hits=0 tabu=6 tt=169 timeout=False score=-1.00 branches=4 partner_dir=1
[Fantasma 0] mode=random mc=(7, 7) dir=2 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 1] mode=alpha_beta_solo mc=(7, 7) dir=2 depth=4 time_ms=0.342 nodes=17 cache_hits=0 tabu=6 tt=260 timeout=False score=0.05 branches=2 
[Fantasma 2] mode=alpha_beta_manada mc=(5, 9) dir=1 depth=3 time_ms=0.261 nodes=15 cache_hits=0 tabu=6 tt=136 timeout=False score=-0.40 branches=4 partner_dir=1
[Fantasma 0] mode=random mc=(7, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 3] mode=alpha_beta_manada mc=(4, 3) dir=1 depth=3 time_ms=0.263 nodes=15 cache_hits=0 tabu=6 tt=184 timeout=False score=-0.40 branches=4 partner_dir=1
[Fantasma 1] mode=alpha_beta_solo mc=(7, 8) dir=1 depth=4 time_ms=0.162 nodes=8 cache_hits=2 tabu=6 tt=268 timeout=False score=-0.65 branches=2 
[Fantasma 2] mode=alpha_beta_manada mc=(6, 9) dir=1 depth=3 time_ms=0.216 nodes=8 cache_hits=1 tabu=6 tt=144 timeout=False score=1000.20 branches=2 partner_dir=1
[Fantasma 0] mode=random mc=(8, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 3] mode=alpha_beta_manada mc=(5, 3) dir=1 depth=3 time_ms=0.231 nodes=11 cache_hits=0 tabu=6 tt=195 timeout=False score=0.40 branches=2 partner_dir=1
