pygame 2.6.1 (SDL 2.28.4, Python 3.12.13)
[AI][Fantasma 1] mode=random mc=(5, 3) dir=3 depth=0 time_ms=0.871 nodes=39 cache_hits=0 tabu=6 tt=179 timeout=False 
[AI][Fantasma 3] mode=random mc=(0, 6) dir=2 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(2, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 0] mode=random mc=(6, 6) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=random mc=(4, 3) dir=3 depth=0 time_ms=0.871 nodes=39 cache_hits=0 tabu=6 tt=179 timeout=False 
[AI][Fantasma 3] mode=random mc=(0, 7) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(1, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 0] mode=random mc=(7, 6) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=random mc=(3, 3) dir=2 depth=0 time_ms=0.871 nodes=39 cache_hits=0 tabu=6 tt=179 timeout=False 
[AI][Fantasma 3] mode=random mc=(1, 7) dir=2 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(0, 9) dir=0 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=random mc=(3, 4) dir=2 depth=0 time_ms=0.871 nodes=39 cache_hits=0 tabu=6 tt=179 timeout=False 
[AI][Fantasma 0] mode=random mc=(8, 6) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 3] mode=random mc=(1, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(0, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 0] mode=random mc=(9, 6) dir=2 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=random mc=(3, 5) dir=1 depth=0 time_ms=0.871 nodes=39 cache_hits=0 tabu=6 tt=179 timeout=False 
[AI][Fantasma 3] mode=random mc=(2, 8) dir=0 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(1, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 0] mode=random mc=(9, 7) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=random mc=(4, 5) dir=1 depth=0 time_ms=0.871 nodes=39 cache_hits=0 tabu=6 tt=179 timeout=False 
[AI][Fantasma 3] mode=random mc=(2, 7) dir=0 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(2, 8) dir=0 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 0] mode=random mc=(8, 7) dir=2 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
